Ticker,MarketCap,TotalRevenue,NetIncomeToCommon,ReturnOnAssets,ReturnOnEquity,DebtToEquity,FreeCashflow,DividendRate,DividendYield,PayoutRatio,GrossMargins,OperatingMargins,ProfitMargins,ebitdaMargins,Timestamp_extraction
AAPL,3610712.211456,395760.009216,96150.003712,0.22518998,1.3652,145.0,93833.87136,1.0,0.4,0.1571,0.46519002,0.34459,0.24295,0.34706002,2025-02-26 23:20:18
NVDA,3215047.262208,113268.998144,63074.000896,0.59131,1.27211,15.516,41753.001984,0.04,0.03,0.0111,0.7586,0.62337,0.55685,0.6422,2025-02-26 23:20:19
MSFT,2971584.954368,261802.000384,92749.996032,0.14649001,0.34291,33.998,51958.124544,3.32,0.83,0.2482,0.69408995,0.45458,0.35428002,0.54255,2025-02-26 23:20:19
AMZN,2271616.958464,637959.012352,59248.001024,0.07438,0.24290001,54.342,44635.87328,,,0.0,0.48854,0.11291,0.09287,0.18882999,2025-02-26 23:20:19
GOOG,2116735.074304,350018.011136,100118.003712,0.1674,0.32908002,8.655,56580.75136,0.8,0.45,0.0746,0.582,0.33967,0.28604,0.36997002,2025-02-26 23:20:19
GOOGL,2116132.53632,350018.011136,100118.003712,0.1674,0.32908002,8.655,56580.75136,0.8,0.46,0.0746,0.582,0.33967,0.28604,0.36997002,2025-02-26 23:20:20
META,1706926.669824,164500.996096,62359.998464,0.16863,0.37140998,27.25,36095.000576,2.1,0.32,0.0838,0.81684,0.45278,0.37909,0.50891,2025-02-26 23:20:20
AVGO,998126.452736,51574.001664,6168.0,0.08126,0.13458,166.032,28315.375616,2.36,1.17,1.6317999,0.75205004,0.31765,0.114300005,0.4918,2025-02-26 23:20:20
TSLA,935363.936256,97690.001408,7129.999872,0.04186,0.1042,18.489,-826.875008,,,0.0,0.17863001,0.06158,0.07259,0.13335,2025-02-26 23:20:21
COST,458090.446848,258805.006336,7576.0,0.080699995,0.29946,33.25,3041.625088,4.64,0.44,0.2644,0.12672,0.03533,0.02927,0.04552,2025-02-26 23:20:21
NFLX,423505.1008,39000.96512,8711.630848,0.12720999,0.38435,72.726,21253.855232,,,0.0,0.46056998,0.22181,0.22337,0.27555,2025-02-26 23:20:21
TMUS,300939.83744,81399.996416,11338.999808,0.05461,0.17934,186.194,10796.749824,3.52,1.3,0.29299998,0.63792,0.20195,0.1393,0.38182,2025-02-26 23:20:22
ASML,300575.096832,28262.899712,7571.599872,0.12737,0.47427,19.902,7925.825024,7.68,1.05,0.3254,0.51276,0.36224,0.26790002,0.35174,2025-02-26 23:20:22
CSCO,254928.830464,54175.997952,9187.00032,0.065560006,0.20019,71.21,13290.500096,1.64,2.55,0.7018,0.65132004,0.22320999,0.16958,0.26929,2025-02-26 23:20:22
AZN,234133.143552,54072.999936,7034.999808,0.078779995,0.17593999,74.527,8460.749824,1.55,2.06,0.66,0.82176,0.22718,0.1301,0.32488,2025-02-26 23:20:23
LIN,219770.732544,33005.000704,6565.000192,0.06966,0.16721001,54.758,3340.250112,5.56,1.19,0.4131,0.48059,0.27964002,0.19891001,0.38631,2025-02-26 23:20:23
PLTR,209464.082432,2865.507072,462.190016,0.035720002,0.10812,4.696,924.912896,,,0.0,0.80248,0.01334,0.16128999,0.11935,2025-02-26 23:20:23
PEP,207795.961856,91853.996032,9578.000384,0.08989,0.52304,262.787,6917.74976,5.42,3.47,0.7669,0.5489,0.10639,0.104270004,0.18879,2025-02-26 23:20:24
ISRG,207192.735744,8352.09984,2322.599936,0.08667,0.15621,0.883,1197.112448,,,0.0,0.67458,0.31328,0.27809,0.33833,2025-02-26 23:20:24
ADBE,192184.942592,21504.999424,5560.0,0.16287,0.36313,42.935,7953.249792,,,0.0,0.89035004,0.363,0.25854,0.39079,2025-02-26 23:20:24
TXN,180464.418816,15640.999936,4775.000064,0.09854999,0.28395998,85.056,-583.750016,5.44,2.72,1.0115,0.58142,0.34864,0.30682,0.43846,2025-02-26 23:20:25
